plate,road,speed
IJ7400FD,R87,49.9
NL2573IB,R87,45.5
KW9124LW,R87,45.7
SJ8413MO,R87,48.1
ZR7046FO,R87,48.6
CV8919WY,R87,51.1
PF6037LQ,R87,49.6
NI8107NR,R87,46.7
ZQ7305QC,R87,49.2
MG1318UR,R87,47.6
FV4906IQ,R87,45.6
TC3064SI,R87,45.8
PK7088RY,R87,49.8
BM6142NV,R87,41.7
TO1745JC,R87,49.2
OF2219GQ,R87,48.1
QJ4871HA,R87,46.3
HM2255JF,R87,45.4
EG5205UE,R87,44.0
TN7076WE,R87,48.1
OV3996BO,R87,44.6
TS9309OY,R87,49.8
CD4956QY,R87,46.7
VM5436WA,R87,48.1
AK2825PW,R87,45.2
RD3611IP,R87,46.6
FK1049ZP,R87,50.1
LG2792ZS,R87,45.2
SS5331NB,R87,48.4
PQ1955RL,R87,48.3
WL1650JD,R87,45.2
RL8598HF,R87,47.5
FS3815NF,R87,46.9
JA4956SK,R87,45.6
WV5427PZ,R87,48.5
BR4935AU,R87,50.8
MV2877GN,R87,49.3
EK2445HM,R87,46.1
PG6328HV,R87,43.7
XJ8531WW,R87,47.5
OL4002LO,R87,48.5
SJ3929IV,R87,45.5
QH5731LN,R87,47.9
RC3597BC,R87,48.7
XN1889SP,R87,47.2
VA1860HC,R87,46.3
YC3594OY,R87,45.2
AK4943FH,R87,50.0
WI9705KQ,R87,47.7
XF6729OM,R87,47.5
BF8672BV,R87,48.9
MI8722RS,R87,50.5
RZ8802MF,R87,48.4
XK5309SC,R87,47.1
LA2849AD,R87,45.7
RW2379VI,R87,47.7
FS3074QJ,R87,49.2
RD1486KJ,R87,45.1
CY2595MC,R87,47.9
XI5876HP,R87,50.1
GN7201RE,R87,50.6
DZ9082LN,R87,50.8
FS1647ZS,R87,47.3
YN3717PA,R87,50.6
VT7481ZN,R87,48.1
EH9166QX,R87,50.5
YG4191WK,R87,48.8
LV4656JA,R87,55.3
KZ5964UR,R87,43.1
DT3317RA,R87,48.5
BU6656ZR,R87,48.6
SN4813CP,R87,50.6
SF1590OI,R87,48.5
CP3233UI,R87,49.7
OF1777DR,R87,46.6
QA6148KZ,R87,47.5
SQ3753GY,R87,46.1
SG8201ZJ,R87,43.2
XI4478YE,R87,46.5
MG8291PR,R87,50.8
LR1530AU,R87,48.3
MO9549AV,R87,48.9
TP6759DM,R87,47.4
LY3956AP,R87,48.4
DR9191DX,R87,49.1
PX5236GT,R87,47.6
LW9540QS,R87,47.5
QR9108ZI,R87,45.4
XR8079PK,R87,43.3
OZ1399CE,R87,51.2
DO2497SE,R87,50.9
WC9793PV,R87,48.2
QG9934TC,R87,49.3
MP5380TG,R87,46.4
QP3284EN,R87,49.6
ME5841WK,R87,45.1
WV5179CV,R87,48.6
DD1863BS,R87,47.8
XL4302TP,R87,48.2
GQ2575XW,R87,47.6
DE6335SD,R87,49.0
LK1138ZU,R87,49.0
DJ8437IF,R87,44.4
ZA5097GI,R87,47.6
NR5928AG,R87,47.5
SH3565WE,R87,51.8
CW1708SZ,R87,46.9
EK7890OH,R87,49.0
PD1844TK,R87,49.5
NG7450WU,R87,49.6
IH9865NL,R87,45.8
QQ6452FL,R87,46.6
SX3915AO,R87,50.0
TC8425XR,R87,47.5
JM8368WV,R87,49.4
YF5070PD,R87,49.5
CM6115YJ,R87,49.5
WW2090BW,R87,48.6
BL1854MD,R87,47.3
TL4378CD,R87,46.7
RJ4126HQ,R87,48.0
BX7803XI,R87,49.8
QP6637TQ,R87,49.9
BM4436IL,R87,49.1
BO2368YA,R87,48.1
BR5268MM,R87,48.9
JN5803ZC,R87,47.7
HO8012IN,R87,46.9
QZ7503QB,R87,49.1
FE4589WM,R87,44.5
XE3656OM,R87,49.1
MM1323HB,R87,47.1
NY5983WS,R87,44.2
SN6930QO,R87,46.9
RK8488YU,R87,48.5
GO7362BO,R87,44.9
JM4502MG,R87,43.7
UA9009CC,R87,48.4
KN4383ET,R87,51.4
HN3859RO,R87,48.1
ID1768UZ,R87,44.2
KI7969SV,R87,48.4
HS6068HW,R87,47.1
VW4663UV,R87,48.0
WZ3330AU,R87,49.8
MN6705RA,R87,49.3
NJ1303ZD,R87,47.3
ZH6232OI,R87,47.8
TR1528AL,R87,49.7
VH2697EP,R87,50.7
NE5810DD,R87,50.5
WB3022CF,R87,49.3
KH6880RR,R87,49.5
SX3353MV,R87,50.0
UX1165GA,R87,49.6
BZ3697SL,R87,48.4
IG9691UH,R87,47.3
QQ9936AP,R87,45.9
LZ9094YB,R87,48.4
YO6279RG,R87,47.7
UD4273HL,R87,48.3
LE6763UU,R87,48.9
QM5692XK,R87,42.1
VP4598YS,R87,46.1
DG7707DI,R87,49.7
JQ5402PZ,R87,50.2
ZP3774CR,R87,46.9
CN3462QV,R87,45.5
VX1320SS,R87,47.4
DQ8806NE,R87,48.0
LQ6072AX,R87,49.0
YY1073UP,R87,43.5
YN6562OC,R87,45.5
IR8651AG,R87,45.3
IU2437GV,R87,49.2
PH9679WI,R87,49.2
OQ9400BY,R87,48.5
SV7815XU,R87,44.2
EO8936MV,R87,48.2
MF3005OT,R87,50.3
FY5230IG,R87,47.8
GE1961GO,R87,48.6
YU2309WG,R87,48.5
NM6450RK,R87,47.0
EU8156OH,R87,49.9
QV9693UB,R87,46.0
EP9587DR,R87,49.9
AB9515OK,R87,48.8
DH4675FU,R87,49.0
WU2537CE,R87,48.3
NQ2036RQ,R87,49.7
BI6028CN,R87,47.9
KD5377BW,R87,49.4
FA8888UU,R87,49.9
VF3140GX,R87,49.8
UE7529DU,R87,48.9
DC5864CX,R87,46.8
WP1951NL,R87,48.8
RQ2768NC,R87,46.1
VG4264AZ,R87,46.9
WQ9468WN,R87,44.5
DF9340DC,R87,49.7
VS3360GB,R87,49.0
XD2591OO,R87,49.6
HH3351WY,R87,47.7
DG4459CB,R87,47.1
MS7461HU,R87,49.9
JA4906CM,R87,47.8
FG4650CY,R87,49.2
WT2246IF,R87,46.6
AF8348LC,R87,49.7
YJ2930UH,R87,46.9
TA6211IP,R87,48.6
SD5819JY,R87,47.9
HK4725QR,R87,45.7
UM9830CA,R87,48.9
ZB7913SW,R87,49.1
JF4144PI,R87,44.4
PW6425TH,R87,48.3
EU7678RN,R87,48.6
VA6887TE,R87,47.4
PZ9193SF,R87,49.5
MN3145IP,R87,48.7
RD9739WO,R87,48.8
DR5692GT,R87,49.9
BU7021BV,R87,48.9
EJ7988WH,R87,48.1
HM8076JZ,R87,50.2
LJ2666LN,R87,49.5
CA2050LZ,R87,48.2
HP4138IH,R87,50.7
GX4576BE,R87,48.4
KX1830AT,R87,50.0
DP8057KU,R87,48.0
DT5476GK,R87,49.7
YI8201QE,R87,50.3
XF8617CY,R87,45.5
TH5581RP,R87,48.6
YF6769EB,R87,49.3
MD7819KP,R87,49.5
AV4068BT,R87,51.7
OU4595RY,R87,44.5
LV9970AB,R87,45.4
VP8343MF,R87,49.1
QD2877RB,R87,50.0
SC9475NV,R87,47.2
WN9203NR,R87,48.8
TT2579NO,R87,44.8
AS5140KF,R87,45.5
TU9956EZ,R87,49.8
RO6544DV,R87,47.1
SR6660TR,R87,45.8
KR5062DH,R87,49.3
PQ8696HI,R87,42.8
MV8933BN,R87,49.9
BJ1720WP,R87,47.0
CL1290YW,R87,50.3
JQ1001ZA,R87,47.3
XF4720GO,R87,47.8
NJ7400QT,R87,46.4
XH9364QC,R87,48.9
SI3528FR,R87,47.8
QM5105TN,R87,48.0
QW1763CZ,R87,48.6
OS4390MC,R87,49.7
XZ9685LB,R87,49.6
VQ3610MM,R87,46.6
SQ3845CZ,R87,47.8
SB3631FX,R87,48.5
TQ4589WP,R87,50.6
US6300KN,R87,49.7
ST6920BZ,R87,49.7
UJ6527RE,R87,46.1
KD9435OJ,R87,48.2
CQ5536OD,R87,48.8
IM9633IF,R87,52.9
NA5014PO,R87,42.8
YP1176ZS,R87,45.6
AH4039DQ,R87,45.7
KP7213PV,R87,49.0
GM9607CB,R87,48.9
ZO6134MF,R87,47.7
PR1798MS,R87,49.6
AH1682RA,R87,48.1
SY2005DL,R87,51.5
DH5131PM,R87,50.7
PP8794IT,R87,49.2
GN2461FH,R87,45.6
UB3710VY,R87,47.8
LP7849NW,R87,47.0
XP8890OP,R87,48.4
LO9702FG,R87,42.3
ZL2641AU,R87,48.9
LT3260PV,R87,44.7
TH3269RR,R87,53.2
BQ5537IN,R87,46.1
LI7733QA,R87,46.6
CM1725YJ,R87,47.3
VH7001SO,R87,47.7
JM9085UH,R87,50.9
TX2404HJ,R87,44.6
XF5517NF,R87,48.0
RG2180HR,R87,50.2
UG3293KW,R87,50.3
ZS7674GF,R87,46.9
VD2670NK,R87,47.4
JI7706WT,R87,49.2
QK3926QQ,R87,48.4
BK4628HT,R87,49.0
ZC9401YU,R87,49.9
HV3133VV,R87,47.3
UY5349KL,R87,50.2
RF5412WX,R87,44.7
KF5672TS,R87,49.5
UL2802JP,R87,43.2
UM5206RL,R87,47.1
WZ7241TM,R87,44.7
VY6086NM,R87,45.4
WD3948GQ,R87,48.7
AA8543JJ,R87,49.7
YX7880WK,R87,50.3
HY3072XN,R87,44.5
VS1367CR,R87,46.9
GA2938MU,R87,41.6
YP5985LC,R87,46.1
OI9652JU,R87,50.2
KS2330FX,R87,43.7
BL3770HX,R87,49.9
CZ9128QO,R87,49.3
SJ1779WU,R87,48.5
UQ9233LV,R87,48.2
ZC7236UA,R87,48.8
IL2147BS,R87,49.7
ZH8597CM,R87,47.0
YQ5768YL,R87,46.5
DG5781QU,R87,49.0
HW8114LA,R87,50.7
RH1449WX,R87,46.4
BV1751IZ,R87,43.9
UN3101NY,R87,48.3
YN2162DQ,R87,46.6
GN1926IZ,R87,48.6
TT3596AQ,R87,49.9
PX2825VO,R87,45.9
MH2986ES,R87,48.3
PH3080AU,R87,48.2
AM8215JA,R87,47.4
ZH5505XU,R87,49.8
YH1310FM,R87,48.0
WR7474EA,R87,49.1
TC6436RF,R87,44.6
PP5872VX,R87,49.4
YI8012UQ,R87,50.0
MH7390AO,R87,47.2
XS4218DF,R87,49.4
ZQ6702SD,R87,50.6
RF5691VY,R87,47.0
XY9911WH,R87,46.3
GD6667SW,R87,44.2
ON4392ZV,R87,44.4
GS6903FA,R87,46.6
XQ3254BI,R87,48.1
RN7509AN,R87,48.5
EM3756FK,R87,48.2
SX2362XE,R87,48.5
FN3499VQ,R87,46.2
BW6091KG,R87,50.0
DU6902XR,R87,47.7
HH2647JK,R87,46.9
UF3147UQ,R87,48.6
YX4744GR,R87,44.1
IF1996NP,R87,46.6
HM1090MJ,R87,49.9
QH4334VS,R87,49.3
ZT1348CS,R87,47.8
FQ3333GC,R87,47.9
UP6969YD,R87,46.2
WE1138VA,R87,42.8
CZ2692RI,R87,46.8
RJ3131QP,R87,46.5
JG7656XH,R87,48.8
FP8876EC,R87,49.7
GP8637AG,R87,49.7
YD3802WQ,R87,49.6
RQ6901ZA,R87,48.1
AA1645YS,R87,48.1
LE3454BW,R87,47.2
BM9957FZ,R87,45.6
JM1786TD,R87,48.3
TW4867PF,R87,47.6
OM5692BY,R87,45.6
ET1101YX,R87,44.4
HM2264LD,R87,49.5
LG4444MT,R87,49.4
NC5942MG,R87,49.4
CK4567BA,R87,48.6
RS3379GE,R87,46.0
SQ4150IP,R87,47.6
LO6670MZ,R87,49.9
OJ6678HY,R87,45.5
TA2575FV,R87,49.9
EM8004KZ,R87,48.6
RM1208YP,R87,46.4
XK1965BV,R87,48.1
UO5418IC,R87,47.6
VA7694IA,R87,48.9
JZ9202KY,R87,47.4
MR2168DH,R87,45.5
PZ9436YQ,R87,49.5
WL9446BM,R87,48.3
HU2912FU,R87,49.7
BR8659CH,R87,43.3
HN9141TI,R87,50.2
BZ9266AE,R87,47.8
MZ4744EI,R87,49.2
VN7545FC,R87,48.0
MG4945GA,R87,48.7
MS6778KH,R87,46.7
JM8206LY,R87,47.4
PI8874XC,R87,48.4
OV7837XA,R87,49.9
SS2017DJ,R87,48.8
IK9729US,R87,47.2
EU6869JH,R87,48.6
PL2953KZ,R87,49.2
ZO8142MS,R87,43.7
OK3814CZ,R87,49.5
YE2249QH,R87,50.4
RL7831EL,R87,48.0
BU5600HS,R87,47.0
CO4470TN,R87,48.1
UO8003GJ,R87,46.3
MP3306TU,R87,48.1
AU1677LD,R87,48.3
DS5064GS,R87,48.9
KF6637LP,R87,49.1
JX7967CR,R87,42.3
RX6835XO,R87,47.6
BN2515TK,R87,48.2
EI6750UT,R87,46.7
OB1361UB,R87,46.3
QE6314GW,R87,48.9
ES3153ZE,R87,46.5
YU9479JJ,R87,47.4
AF6528KP,R87,47.4
UI4335NP,R87,48.9
ES2145JG,R87,50.3
GL4526UD,R87,46.7
PJ8116LL,R87,50.5
WS3856NF,R87,46.9
LP5971WE,R87,48.9
IO3423HD,R87,48.6
KA5293KR,R87,48.5
SN4943GL,R87,45.7
XR8628CF,R87,42.4
FP5425YE,R87,46.0
MQ3219OG,R87,47.9
BN4092VH,R87,49.2
SP5499VD,R87,46.8
HN3563UJ,R87,48.0
RU5116EM,R87,46.3
XU3563XC,R87,49.3
AA6049GU,R87,48.2
HO8177RC,R87,49.7
NG1314JL,R87,49.9
UC8286VF,R87,45.2
DE2423FQ,R87,46.2
HC4661ZP,R87,49.8
BJ5495MA,R87,48.6
DV4442GK,R87,48.1
GW8579XT,R87,45.9
KZ2859CP,R87,50.5
SB7325OD,R87,48.7
FI3255VD,R87,49.0
JO2933IG,R87,43.8
UJ4572AV,R87,44.2
BV1047OJ,R87,49.1
UR1413YK,R48,68.7
YD1268NE,R48,67.8
WK7952DY,R48,66.8
AY3569DO,R48,63.8
EZ6678RX,R48,70.8
PX1170SA,R48,67.0
SW6053VQ,R48,68.7
DH7376XE,R48,69.6
NQ6645TZ,R48,67.6
MQ5467TS,R48,66.5
HO4706BB,R48,68.4
CZ8612YS,R48,72.7
BS8378CU,R48,69.4
KS9019EU,R48,64.7
PA1808JK,R48,70.2
KR6450GP,R48,67.8
HQ2205XN,R48,69.0
GR5267YM,R48,67.3
FG5352NW,R48,69.8
JY8824NA,R48,69.7
PH8280NA,R48,63.1
FP5754OV,R48,68.2
TM8015CT,R48,63.4
WW9749VP,R48,66.9
EC8956JL,R48,67.5
HJ9313MH,R48,68.3
TM4228UC,R48,65.2
PT6268VV,R48,69.1
DY9882IC,R48,69.4
PI9872DJ,R48,69.5
UG5092TS,R48,68.3
YS3371AN,R48,68.6
EM8190TE,R48,71.1
HO5195NI,R48,69.4
YB4674BS,R48,69.7
QW6561NS,R48,65.5
WF1728WE,R48,66.5
XR9837HD,R48,69.5
FB5829FK,R48,65.9
TQ7430QP,R48,64.9
EB1977JC,R48,69.9
YT2046ZS,R48,64.3
HQ9385PH,R48,68.0
GL6085DR,R48,68.3
JI8422EM,R48,65.9
FM3410ZS,R48,65.4
DM4524IJ,R48,64.4
MA7608HE,R48,68.0
NS4546SY,R48,67.3
UJ6796VJ,R48,68.0
VG3596VM,R48,63.5
PX9912IE,R48,69.9
WV3680LE,R48,66.8
JU2417BQ,R48,69.5
RD1090FO,R48,65.3
ZW6448GL,R48,68.1
FB4996XT,R48,68.1
IN1511ZW,R48,61.0
XM3363EH,R48,68.2
WA9198UP,R48,70.1
QV3975AY,R48,59.3
UY4916CY,R48,66.2
OF2602SA,R48,63.8
RB6902LX,R48,68.7
GX2006RJ,R48,65.6
NI9871XP,R48,65.9
ZW6856AP,R48,63.3
KS5470RB,R48,67.7
KR1495ET,R48,62.5
FJ9597MV,R48,64.3
IN4684ME,R48,67.2
YX9111MM,R48,64.1
GT4530ZC,R48,68.8
PN2264JY,R48,64.2
OW1476JK,R48,68.4
YN2920WB,R48,63.1
SR9720UJ,R48,64.3
RH1905AI,R48,64.9
EB5873CR,R48,69.7
NH6776RR,R48,69.6
UF8112LQ,R48,68.5
VJ7324CY,R48,73.4
XE8576ZE,R48,65.6
YA3571DB,R48,65.8
YW9822AN,R48,64.0
CI2491RP,R48,65.5
GK6166MK,R48,63.9
CC6182AE,R48,65.3
FL9746KR,R48,65.6
WY1983BG,R48,68.2
NA5375JO,R48,64.4
AS8857HN,R48,67.7
EO1550PZ,R48,60.9
VM8541JI,R48,71.7
VV9688NX,R48,67.9
SR5486HF,R48,63.7
CN6804QL,R48,67.3
FN1511OQ,R48,69.3
TS6716NE,R48,66.0
SY4228QZ,R48,68.7
GI1549SP,R48,69.5
TI8240MU,R48,69.3
SK1168LS,R48,66.7
UX5151CM,R48,67.7
RF2002WU,R48,66.3
MK1847GE,R48,65.8
AA4194DK,R48,67.9
CK3166IU,R48,67.5
IE1447PB,R48,65.9
QU5851DV,R48,64.5
TY6457LC,R48,68.8
LU1018HW,R48,67.2
SE3285AD,R48,64.5
GB7031XM,R48,70.4
TZ7514DL,R48,69.3
LD7166OQ,R48,66.9
AW2263YO,R48,69.5
MQ2939DM,R48,67.7
NP6239YL,R48,67.3
WQ7450JS,R48,69.2
MI8865BV,R48,65.3
OJ4125HU,R48,64.1
HK5892RI,R48,64.2
PX4162UC,R48,69.2
KN3437MC,R48,67.0
VS6335CR,R48,69.5
CK4395LN,R48,64.1
YL6180RS,R48,68.8
