city,lat,lng
Athens,37.9842,23.7281
Bujumbura,-3.3825,29.3611
Helsinki,60.1756,24.9342
Skopje,41.9833,21.4333
Chisinau,47.0228,28.8353
Riga,56.9475,24.1069
Kingston,17.9714,-76.7931
Rabat,34.0253,-6.8361
Vilnius,54.6833,25.2833
San Salvador,13.6989,-89.1914
Djibouti,11.595,43.1481
Dublin,53.3497,-6.2603
The Hague,52.08,4.31
Asunción,-25.3,-57.6333
Lisbon,38.708,-9.139
Bratislava,48.1447,17.1128
Tallinn,59.4372,24.745
Beirut,33.8869,35.5131
Cape Town,-33.925,18.425
Tirana,41.33,19.82
Wellington,-41.2889,174.7772
Dodoma,-6.1835,35.746
Bissau,11.8592,-15.5956
Canberra,-35.2931,149.1269
Juba,4.85,31.6
Yamoussoukro,6.8161,-5.2742
Maseru,-29.31,27.48
Nicosia,35.1725,33.365
Windhoek,-22.57,17.0836
Port Moresby,-9.4789,147.1494
Porto-Novo,6.4833,2.6167
Sucre,-19.0431,-65.2592
San José,9.9333,-84.0833
Ljubljana,46.05,14.5167
Sarajevo,43.8563,18.4132
Nassau,25.0667,-77.3333
Bloemfontein,-29.1,26.2167
Fort-de-France,14.6104,-61.08
New Delhi,28.6139,77.209
Gaborone,-24.6569,25.9086
Paramaribo,5.8667,-55.1667
Dili,-8.5536,125.5783
Male,4.175,73.5083
Georgetown,6.7833,-58.1667
Gibraltar,36.1324,-5.3781
Saint-Denis,-20.8789,55.4481
Malabo,3.7521,8.7737
Podgorica,42.4397,19.2661
Manama,26.225,50.5775
Port Louis,-20.1667,57.5
Willemstad,12.108,-68.935
Bern,46.948,7.4474
Papeete,-17.5334,-149.5667
Luxembourg,49.6106,6.1328
Reykjavík,64.1475,-21.935
Praia,14.9177,-23.5092
Sri Jayewardenepura Kotte,6.9,79.9164
Bridgetown,13.0975,-59.6167
Moroni,-11.7036,43.2536
Thimphu,27.4833,89.6333
Mbabane,-26.3208,31.1617
Nouméa,-22.2625,166.4443
Honiara,-9.4333,159.95
Suva,-18.1333,178.4333
Ankara,39.93,32.85
Castries,14.0167,-60.9833
Cayenne,4.933,-52.33
São Tomé,0.3333,6.7333
Port-Vila,-17.7333,168.3167
Hamilton,32.2942,-64.7839
Bandar Seri Begawan,4.9167,114.9167
Monaco,43.7396,7.4069
Gitega,-3.4283,29.925
Port of Spain,10.6667,-61.5167
Apia,-13.8333,-171.8333
Tarawa,1.3382,173.0176
Oranjestad,12.5186,-70.0358
Saint Helier,49.1858,-2.11
Banjul,13.4531,-16.5775
Mamoudzou,-12.7871,45.275
Majuro,7.0918,171.3802
Douglas,54.15,-4.4819
George Town,19.2866,-81.3744
Victoria,-4.6236,55.4544
Kingstown,13.1667,-61.2333
Andorra la Vella,42.5,1.5
Saint John’s,17.1211,-61.8447
Nuku‘alofa,-21.1347,-175.2083
Ashgabat,37.95,58.3833
Nuuk,64.175,-51.7333
Belmopan,17.25,-88.7675
Roseau,15.3,-61.3833
Basseterre,17.2983,-62.7342
Tórshavn,62.0,-6.7833
Pago Pago,-14.274,-170.7046
Valletta,35.8978,14.5125
Gaza,31.5069,34.456
Grand Turk,21.4664,-71.136
Palikir,6.9178,158.185
Funafuti,-8.5243,179.1942
Vaduz,47.1397,9.5219
Lobamba,-26.4465,31.2064
Avarua,-21.207,-159.771
Saint George’s,12.0444,-61.7417
San Marino,43.932,12.4484
Al Quds,31.7799,35.2219
Capitol Hill,15.2137,145.7546
Stanley,-51.7,-57.85
Vatican City,41.9033,12.4534
Alofi,-19.056,-169.921
Basse-Terre,16.0104,-61.7055
Hagåtña,13.4745,144.7504
Marigot,18.0706,-63.0847
Jamestown,-15.9251,-5.7179
Brades,16.7928,-62.2106
Philipsburg,18.0256,-63.0492
Yaren,-0.5477,166.9209
Pristina,42.6633,21.1622
Gustavia,17.8958,-62.8508
Road Town,18.4167,-64.6167
Ngerulmud,7.5006,134.6242
Saint-Pierre,46.7811,-56.1764
The Valley,18.2167,-63.05
Mata-Utu,-13.2825,-176.1736
Kingston,-29.0569,167.9617
Longyearbyen,78.2167,15.6333
Tifariti,26.0928,-10.6089
Adamstown,-25.0667,-130.0833
Flying Fish Cove,-10.4167,105.7167
King Edward Point,-54.2833,-36.5
San Juan,18.4037,-66.0636
Charlotte Amalie,18.3419,-64.9332
